time,density,nonezero,
1,0.1,0.075,
2,0.1,0.145,
3,0.1,0.11,
4,0.1,0.1,
5,0.1,0.135,
6,0.1,0.1,
7,0.1,0.075,
8,0.1,0.065,
9,0.1,0.095,
10,0.1,0.14,
11,0.1,0.125,
12,0.1,0.075,
13,0.1,0.095,
14,0.1,0.11,
15,0.1,0.135,
16,0.1,0.1,
17,0.1,0.1,
18,0.1,0.145,
19,0.1,0.125,
20,0.1,0.12,
21,0.1,0.12,
22,0.1,0.11,
23,0.1,0.085,
24,0.1,0.145,
25,0.1,0.1,
26,0.1,0.07,
27,0.1,0.08,
28,0.1,0.115,
29,0.1,0.1,
30,0.1,0.07,
31,0.1,0.08,
32,0.1,0.095,
33,0.1,0.14,
34,0.1,0.095,
35,0.1,0.13,
36,0.1,0.115,
37,0.1,0.13,
38,0.1,0.11,
39,0.1,0.1,
40,0.1,0.08,
41,0.1,0.125,
42,0.1,0.1,
43,0.1,0.09,
44,0.1,0.1,
45,0.1,0.105,
46,0.1,0.14,
47,0.1,0.065,
48,0.1,0.1,
49,0.1,0.145,
50,0.1,0.105,
51,0.1,0.145,
52,0.1,0.075,
53,0.1,0.095,
54,0.1,0.075,
55,0.1,0.115,
56,0.1,0.11,
57,0.1,0.09,
58,0.1,0.105,
59,0.1,0.105,
60,0.1,0.1,
61,0.1,0.075,
62,0.1,0.09,
63,0.1,0.14,
64,0.1,0.11,
65,0.1,0.12,
66,0.1,0.14,
67,0.1,0.07,
68,0.1,0.1,
69,0.1,0.09,
70,0.1,0.09,
71,0.1,0.13,
72,0.1,0.1,
73,0.1,0.05,
74,0.1,0.075,
75,0.1,0.1,
76,0.1,0.105,
77,0.1,0.075,
78,0.1,0.13,
79,0.1,0.12,
80,0.1,0.095,
81,0.1,0.07,
82,0.1,0.145,
83,0.1,0.075,
84,0.1,0.1,
85,0.1,0.1,
86,0.1,0.085,
87,0.1,0.095,
88,0.1,0.155,
89,0.1,0.085,
90,0.1,0.105,
91,0.1,0.09,
92,0.1,0.08,
93,0.1,0.095,
94,0.1,0.1,
95,0.1,0.105,
96,0.1,0.085,
97,0.1,0.15,
98,0.1,0.095,
99,0.1,0.105,
100,0.1,0.085,
101,0.1,0.12,
102,0.1,0.095,
103,0.1,0.095,
104,0.1,0.07,
105,0.1,0.095,
106,0.1,0.12,
107,0.1,0.065,
108,0.1,0.17,
109,0.1,0.075,
110,0.1,0.085,
111,0.1,0.08,
112,0.1,0.095,
113,0.1,0.09,
114,0.1,0.075,
115,0.1,0.095,
116,0.1,0.06,
117,0.1,0.165,
118,0.1,0.09,
119,0.1,0.08,
120,0.1,0.095,
121,0.1,0.075,
122,0.1,0.09,
123,0.1,0.11,
124,0.1,0.095,
125,0.1,0.1,
126,0.1,0.115,
127,0.1,0.105,
128,0.1,0.075,
129,0.1,0.11,
130,0.1,0.11,
131,0.1,0.09,
132,0.1,0.08,
133,0.1,0.08,
134,0.1,0.13,
135,0.1,0.12,
136,0.1,0.065,
137,0.1,0.1,
138,0.1,0.065,
139,0.1,0.065,
140,0.1,0.08,
141,0.1,0.1,
142,0.1,0.09,
